Model,Best Threshold,F1
Logistic_Regression,0.9,0.2006911940785893
KNN,0.75,0.191579528072419
Neural_Net_(MLP),0.9,0.1722304523408486
Extra_Trees,0.55,0.1582690947007783
Decision_Tree,0.1,0.1580028440511929
XGBoost,0.55,0.1574307304785894
Random_Forest,0.1,0.1566820276497695
SVM,0.1,0.1566820276497695
